Blog	a	s	last	here	of	that	would	be	to	even	i	have	on	this	so	can	the	it	them	by	from	make	for	you	was	me	and	first	how	is	also	has	in	he	my	at	d	like	with	but	m	not	two	only	used	use	these	are	if	see	day	good	into	all	because	most	or	do	why	people	they	too	their	as	may	there	more	than	re	an	other	your	about	when	t	up	will	who	new	said	we	what	best	some	one	out	those	no	ve	been	had	just	now	while	news	us	his	were	take	read	going	which	another	don	well	time	its	today	find	took	free	get	around	could	way	right	our	know	down	long	back	game	years	over	go	world	her	got	should	series	after	off	week	little	life	great	think	she	year	video
Boing Boing	123	68	3	5	156	55	6	13	131	5	43	15	44	28	5	12	270	36	10	29	42	5	54	10	23	8	131	9	8	43	4	19	87	6	11	22	7	5	33	16	2	10	7	7	6	6	6	26	11	2	3	0	9	9	12	3	24	3	3	12	19	4	14	32	8	12	19	10	4	18	11	3	16	6	16	5	19	11	7	8	27	6	0	13	11	13	1	7	3	9	4	6	11	4	6	4	5	20	5	28	2	9	3	3	4	7	13	3	4	4	2	6	4	4	10	3	11	4	3	6	3	1	6	14	0	2	7	2	1	0	6	4	3	4	4	1	2	6	6	5
Captain's Quarters	20	4	0	0	20	9	1	4	22	1	3	2	14	1	0	1	50	2	0	4	3	0	8	2	1	2	12	2	1	0	2	7	14	6	2	5	0	0	4	1	0	3	0	1	0	1	0	0	1	0	2	0	2	0	0	0	0	0	0	0	2	1	6	4	0	0	3	2	0	1	2	0	3	2	1	1	5	1	0	0	1	0	1	1	2	4	0	1	0	2	3	0	0	1	1	3	6	0	1	0	0	0	1	0	1	1	3	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	1	0	1	1	1	2	1	3	1	1	0	0	0	0	1	0	0
Copyblogger	10	2	0	0	5	1	0	0	22	1	8	0	11	6	0	0	17	6	0	0	3	0	5	7	3	2	6	10	6	0	0	3	4	0	2	0	0	0	2	3	0	0	0	0	0	2	1	2	4	0	1	1	1	0	0	0	3	5	2	2	0	0	0	1	0	0	9	2	0	6	2	7	2	6	6	0	0	1	0	0	3	2	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	1	6	0	0	0	0	2	2	0	0	0	2	1	1	0	0	1	0	3	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	1	0
Deadspin	39	23	3	0	29	16	2	6	29	3	2	8	9	15	3	3	79	18	0	4	4	0	18	4	11	2	33	5	5	13	0	7	31	6	1	5	0	6	4	4	1	9	3	3	0	1	3	4	4	1	2	0	2	4	1	1	3	1	0	0	2	1	2	7	1	3	26	3	5	5	0	4	2	6	5	11	4	2	2	0	5	4	2	1	5	8	2	0	2	5	2	8	3	2	2	0	7	4	1	24	3	2	0	1	0	9	1	4	2	2	0	0	1	3	0	2	1	0	1	1	3	13	3	6	0	3	3	2	1	4	4	3	1	2	2	1	0	1	2	0
Engadget RSS Feed	42	33	1	0	27	12	1	7	38	1	0	2	17	2	0	5	57	14	0	2	7	2	16	10	2	0	29	1	1	19	0	14	23	2	0	4	1	1	16	2	0	2	2	1	0	3	0	0	4	1	1	2	2	0	2	2	4	0	0	0	3	1	3	5	3	4	3	1	1	8	0	2	1	0	13	5	5	1	5	1	1	1	1	4	1	3	0	0	3	3	0	5	5	1	3	0	1	0	0	0	1	1	0	1	1	2	9	2	1	0	2	1	0	3	0	0	1	0	0	2	0	2	0	0	0	1	0	1	1	2	4	0	0	0	0	0	0	0	2	0
Gothamist	65	29	8	3	71	19	7	12	47	3	11	9	34	11	5	6	114	15	1	5	10	1	22	16	9	3	52	6	4	17	4	4	54	12	1	11	0	2	15	6	1	2	5	2	5	0	2	8	6	2	6	0	8	4	5	4	7	2	0	5	3	0	7	12	5	3	44	6	1	14	4	4	7	2	6	7	11	8	18	3	5	3	1	3	2	7	2	2	1	7	2	3	4	2	2	1	11	2	1	0	2	6	1	2	0	3	1	6	3	1	2	0	2	4	1	0	1	1	3	4	1	5	4	1	1	1	7	2	1	3	10	4	7	2	2	3	2	0	8	2
Joel on Software	13	4	1	1	13	3	0	0	11	0	6	1	4	1	0	0	18	2	0	0	0	0	11	6	4	0	5	1	1	2	0	1	3	0	1	0	0	0	1	1	1	2	0	0	0	0	0	3	1	0	2	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	11	1	2	0	0	3	0	1	0	3	0	0	6	0	2	1	0	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1
Kotaku	32	18	1	0	29	16	2	6	27	4	3	5	11	8	6	2	47	19	0	2	4	1	14	13	5	1	22	2	1	21	0	4	20	0	1	5	1	3	9	8	2	0	1	0	2	1	2	7	5	4	0	1	3	3	0	2	5	1	0	0	1	1	1	11	1	0	25	1	4	6	0	9	3	1	7	5	4	3	4	1	9	4	5	3	6	1	4	4	5	2	3	3	5	3	1	0	0	4	0	22	1	4	0	4	2	2	7	3	0	0	0	3	1	0	0	1	2	3	2	1	1	12	3	4	0	1	0	0	0	2	0	1	0	0	1	3	0	0	4	2
kottke.org	225	85	4	18	277	118	19	48	196	16	85	36	50	54	25	30	533	82	18	34	54	6	99	63	61	5	201	15	21	74	15	18	174	38	16	43	2	22	45	29	3	17	3	13	4	4	7	27	15	21	4	10	22	20	4	7	33	14	8	21	40	4	27	50	5	12	22	15	9	48	7	11	41	23	36	21	10	27	19	7	33	32	3	16	20	21	12	11	11	12	28	12	9	5	3	7	28	25	3	5	2	13	10	12	5	14	11	3	5	1	2	15	10	16	10	3	21	8	6	5	7	2	14	14	13	20	33	4	4	7	9	5	2	7	6	3	7	27	7	26
Lifehacker	40	25	4	1	40	17	1	5	43	1	12	5	10	7	0	6	53	16	3	4	5	1	12	32	5	1	28	2	9	17	0	2	20	2	9	5	0	6	8	9	5	5	0	5	1	4	1	6	7	4	0	4	3	6	2	3	2	3	1	3	5	2	4	9	1	5	27	2	5	7	1	16	6	6	9	2	2	2	2	1	3	10	3	7	3	4	2	2	3	1	0	6	5	2	1	3	0	2	1	25	2	2	1	4	0	7	6	3	2	0	1	5	2	0	1	2	2	3	3	3	3	4	2	4	2	2	0	2	2	0	0	1	2	1	1	2	1	4	1	0
Matt Cutts: Gadgets, Google, and SEO	22	6	4	1	16	13	1	0	15	0	22	1	4	4	2	2	25	4	2	0	4	2	6	12	3	1	11	0	0	1	2	3	4	4	5	2	1	3	7	4	0	1	0	0	0	0	1	2	1	1	0	1	0	0	1	0	3	4	0	4	2	1	2	3	0	0	2	0	1	1	0	2	9	1	4	2	0	1	0	0	2	1	1	3	2	1	0	0	3	1	0	3	0	2	1	7	0	0	0	1	0	0	0	0	0	2	0	1	0	3	0	3	0	0	2	0	0	1	1	0	0	0	2	1	2	1	2	1	1	0	1	0	2	3	0	2	0	0	4	0
mezzoblue	19	6	0	1	10	6	0	1	9	0	12	1	6	4	1	1	18	6	2	0	2	2	2	6	1	2	4	1	2	3	1	1	2	0	3	0	1	0	5	4	1	2	0	0	1	1	1	0	2	0	0	0	1	1	0	1	1	0	0	0	0	1	0	4	0	0	0	0	1	1	0	0	1	2	4	0	1	0	3	0	0	1	0	1	2	2	0	1	6	3	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	2	0	0	2	0	0	0	2	1	1	0	0	2	1	0	3	4	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1
Neil Gaiman's Journal	348	192	25	41	330	198	39	112	440	32	482	73	134	87	65	49	732	264	56	79	58	35	165	197	147	87	724	21	21	156	14	20	237	73	88	76	25	44	91	63	57	57	27	27	3	2	12	70	64	25	14	37	21	55	39	14	78	41	7	49	63	26	20	62	10	64	40	17	15	37	22	24	58	40	67	44	65	54	47	15	79	36	8	41	43	53	7	14	31	36	60	27	28	12	3	30	44	26	13	36	24	33	12	17	8	42	6	5	14	13	4	35	7	29	14	10	12	10	8	14	23	0	32	24	24	26	17	22	12	5	16	11	7	10	10	8	9	24	48	7
Derek Powazek	62	43	7	6	39	19	0	7	52	1	69	3	14	9	7	8	97	39	2	5	5	1	33	19	13	15	70	3	7	17	2	5	35	5	22	7	2	9	17	14	12	6	9	1	1	0	2	11	9	3	2	1	4	10	3	2	5	7	1	2	6	2	4	10	0	7	6	2	7	5	3	6	9	11	10	11	5	1	5	3	7	9	1	3	13	9	1	2	11	8	3	11	10	1	1	4	3	2	1	0	4	2	3	4	2	4	1	2	1	3	0	6	1	1	0	4	3	6	2	1	2	0	5	5	4	3	9	1	1	0	4	1	3	7	5	5	4	7	4	0
ProBlogger	51	21	0	0	42	5	0	3	75	3	23	3	58	16	2	6	71	8	4	9	5	6	6	41	2	1	41	43	42	18	2	0	25	4	5	3	1	4	15	8	2	5	1	1	0	7	0	1	4	0	9	3	3	3	3	2	13	8	5	4	9	1	2	6	0	1	24	1	4	2	2	47	7	4	3	2	1	2	3	0	6	5	0	4	8	0	1	3	7	1	2	1	1	2	0	2	1	0	2	0	0	1	1	3	2	3	0	3	0	1	0	9	1	0	1	1	5	3	0	0	0	0	2	0	0	1	4	0	7	2	0	2	0	0	2	0	2	5	1	0
Schneier on Security	14	4	2	2	12	9	1	1	10	1	6	4	9	7	1	3	26	3	1	3	1	2	2	4	4	0	9	0	2	6	1	1	11	1	1	3	1	0	1	1	2	1	2	2	2	2	0	3	1	0	0	1	1	1	1	0	0	0	1	1	5	0	2	4	1	1	2	0	1	5	5	1	3	1	5	0	1	1	3	0	3	0	0	1	0	0	0	1	1	1	0	1	1	0	1	2	1	2	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0
ShoeMoney	74	41	0	8	50	31	8	4	102	3	29	7	18	15	13	8	87	45	1	2	6	9	22	102	5	11	56	0	17	35	1	3	20	2	14	21	6	12	15	28	6	11	1	2	2	10	7	23	19	3	1	5	7	9	2	4	7	11	6	13	9	3	9	11	0	11	4	3	28	4	4	39	11	6	21	7	6	8	0	1	16	19	3	10	7	15	2	4	12	5	0	11	3	0	0	6	2	2	5	2	12	1	2	8	4	8	0	4	3	2	1	9	2	6	6	6	0	10	5	2	3	2	0	4	3	3	0	2	4	0	0	3	2	2	3	0	2	0	1	5
ongoing by Tim Bray	24	19	1	2	32	18	0	2	20	1	33	8	11	8	8	2	49	17	4	7	5	1	14	14	14	4	42	0	1	4	4	3	18	1	7	5	2	0	6	13	0	3	2	2	1	0	1	6	8	4	2	4	0	0	1	0	2	2	2	2	6	0	3	4	2	7	4	4	5	3	2	0	2	4	8	3	1	0	0	4	10	8	1	6	6	6	0	4	5	4	3	4	1	1	1	0	1	3	1	0	0	2	1	1	2	3	2	0	0	2	0	0	0	0	2	1	3	3	0	0	4	0	1	1	2	0	0	2	2	0	0	1	0	0	0	5	2	2	3	0
Techdirt.	337	199	12	13	456	314	49	104	554	28	11	57	130	166	28	38	1059	206	30	106	76	22	166	41	98	4	324	13	35	177	32	80	250	19	1	48	4	24	94	70	0	92	14	18	10	24	37	73	43	13	1	12	21	51	19	20	73	18	8	35	48	9	58	93	18	42	64	39	13	65	27	11	47	33	86	22	45	26	19	22	70	23	8	28	40	37	16	40	20	40	14	32	11	18	11	15	17	44	8	0	14	36	22	13	16	19	50	5	8	5	38	12	12	20	21	17	20	6	14	8	8	0	18	24	4	12	9	8	14	1	20	6	18	7	6	4	2	6	13	8
TechEBlog	24	8	0	0	12	7	2	3	15	1	0	1	4	2	1	3	26	10	0	5	3	0	7	5	5	0	16	1	1	5	1	3	16	2	0	5	0	2	9	1	0	2	0	3	0	0	0	0	3	2	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	1	2	0	0	7	2	0	0	1	2	2	3	0	3	0	0	3	0	1	4	2	0	0	0	1	2	2	0	0	0	0	1	0	0	0	0	0	0	1	0	4	2	3	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	3
TMZ.com	15	25	1	0	12	6	3	3	22	3	5	4	4	1	1	0	54	4	2	7	6	0	10	0	6	1	20	5	1	6	0	2	20	11	0	6	0	2	9	2	1	0	0	3	0	0	0	3	1	2	0	2	0	2	0	1	1	1	1	0	2	0	2	9	0	0	0	0	1	2	0	1	0	1	3	4	5	5	3	0	3	0	0	0	0	3	0	3	0	3	1	1	1	0	0	0	8	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	1	0	0	0	2	2	0	2	4	0	3	0	0	9	3	1	0	2	1	0	0	0	0	0	4	2	2
Wired	26	17	0	2	29	9	2	1	19	0	0	4	5	0	1	2	51	8	2	0	4	1	9	4	1	0	21	1	4	7	2	7	13	1	0	5	0	2	4	4	0	0	3	0	0	1	0	6	0	1	0	2	1	2	0	2	3	0	1	3	1	0	1	1	2	0	4	3	0	3	0	2	3	0	2	4	3	1	8	1	1	2	1	4	3	2	1	1	0	0	0	2	3	0	5	3	0	1	1	0	0	3	1	0	0	0	7	2	1	0	0	0	2	1	0	2	3	0	3	1	0	4	4	1	1	3	0	1	0	3	1	2	1	0	0	1	0	0	0	0
